loan_id,customer_id,account_id,product_type,origination_date,maturity_date,original_amount,outstanding_balance,interest_rate,collateral_value,loan_status,risk_rating,loaded_at
L001,C001,A001,mortgage,2022-03-01,2052-03-01,280000.00,265000.00,0.0215,350000.00,active,A,2026-04-15 00:00:00
L002,C002,A002,consumer,2023-06-15,2026-06-15,15000.00,9800.00,0.0720,0.00,active,B,2026-04-15 00:00:00
L003,C003,A003,mortgage,2021-09-01,2051-09-01,195000.00,185000.00,0.0235,240000.00,active,A,2026-04-15 00:00:00
L004,C004,A004,business,2022-01-15,2027-01-15,80000.00,64000.00,0.0380,95000.00,active,B,2026-04-15 00:00:00
L005,C005,A005,consumer,2023-11-01,2026-11-01,8000.00,5600.00,0.0680,0.00,active,C,2026-04-15 00:00:00
L006,C006,A006,business,2020-05-20,2025-05-20,350000.00,105000.00,0.0320,420000.00,active,A,2026-04-15 00:00:00
L007,C007,A007,credit_line,2024-01-10,2026-01-10,20000.00,14500.00,0.0520,0.00,active,C,2026-04-15 00:00:00
L008,C008,A008,business,2021-07-01,2026-07-01,120000.00,85000.00,0.0355,140000.00,active,B,2026-04-15 00:00:00
L009,C009,A009,consumer,2022-10-01,2025-10-01,12000.00,4200.00,0.0695,0.00,active,B,2026-04-15 00:00:00
L010,C010,A010,mortgage,2019-04-15,2049-04-15,420000.00,395000.00,0.0195,520000.00,active,A,2026-04-15 00:00:00
L011,C011,A011,business,2020-11-01,2025-11-01,95000.00,38000.00,0.0410,110000.00,active,B,2026-04-15 00:00:00
L012,C012,A012,consumer,2023-02-01,2026-02-01,6500.00,3900.00,0.0750,0.00,active,C,2026-04-15 00:00:00
L013,C013,A013,mortgage,2022-08-15,2052-08-15,310000.00,302000.00,0.0225,380000.00,active,A,2026-04-15 00:00:00
L014,C014,A014,business,2018-03-01,2023-03-01,500000.00,0.00,0.0295,0.00,paid_off,A,2026-04-15 00:00:00
L015,C015,A015,consumer,2022-05-01,2025-05-01,18000.00,6200.00,0.0710,0.00,active,B,2026-04-15 00:00:00
L016,C017,A016,mortgage,2023-01-15,2053-01-15,390000.00,385000.00,0.0210,480000.00,active,A,2026-04-15 00:00:00
L017,C018,A017,consumer,2021-12-01,2024-12-01,10000.00,2100.00,0.0680,0.00,active,C,2026-04-15 00:00:00
L018,C019,A018,credit_line,2024-03-01,2026-03-01,15000.00,12000.00,0.0510,0.00,active,B,2026-04-15 00:00:00
L019,C020,A019,business,2022-06-01,2027-06-01,200000.00,168000.00,0.0365,230000.00,active,B,2026-04-15 00:00:00
L020,C021,A020,mortgage,2020-02-01,2050-02-01,250000.00,235000.00,0.0228,310000.00,active,A,2026-04-15 00:00:00
L021,C001,A021,credit_line,2023-07-01,2025-07-01,25000.00,22000.00,0.0530,0.00,active,B,2026-04-15 00:00:00
L022,C002,A022,mortgage,2024-02-01,2054-02-01,320000.00,318000.00,0.0205,400000.00,active,A,2026-04-15 00:00:00
L023,C004,A023,business,2019-08-01,2024-08-01,150000.00,0.00,0.0340,180000.00,paid_off,A,2026-04-15 00:00:00
L024,C005,A024,consumer,2021-03-01,2024-03-01,20000.00,8500.00,0.0760,0.00,defaulted,E,2026-04-15 00:00:00
L025,C007,A025,consumer,2022-09-01,2025-09-01,9000.00,6300.00,0.0730,0.00,active,C,2026-04-15 00:00:00
L026,C008,A026,business,2023-04-01,2028-04-01,180000.00,172000.00,0.0345,200000.00,active,B,2026-04-15 00:00:00
L027,C010,A027,mortgage,2022-11-01,2052-11-01,480000.00,472000.00,0.0200,590000.00,active,A,2026-04-15 00:00:00
L028,C011,A028,business,2021-01-15,2026-01-15,75000.00,45000.00,0.0395,90000.00,restructured,C,2026-04-15 00:00:00
L029,C012,A029,consumer,2020-07-01,2023-07-01,14000.00,9800.00,0.0790,0.00,defaulted,E,2026-04-15 00:00:00
L030,C013,A030,credit_line,2023-09-01,2025-09-01,30000.00,27500.00,0.0500,0.00,active,B,2026-04-15 00:00:00
L031,C015,A031,mortgage,2022-04-01,2052-04-01,175000.00,169000.00,0.0240,215000.00,active,B,2026-04-15 00:00:00
L032,C017,A032,consumer,2021-06-01,2024-06-01,11000.00,4400.00,0.0705,0.00,active,C,2026-04-15 00:00:00
L033,C018,A033,business,2022-02-15,2027-02-15,90000.00,72000.00,0.0370,105000.00,active,B,2026-04-15 00:00:00
L034,C019,A034,consumer,2023-05-01,2026-05-01,7500.00,5500.00,0.0740,0.00,active,C,2026-04-15 00:00:00
L035,C020,A035,business,2020-10-01,2025-10-01,250000.00,62500.00,0.0360,290000.00,active,B,2026-04-15 00:00:00
L036,C021,A036,mortgage,2021-05-01,2051-05-01,190000.00,180000.00,0.0232,235000.00,restructured,C,2026-04-15 00:00:00
L037,C022,A037,consumer,2022-12-01,2025-12-01,5000.00,2100.00,0.0720,0.00,active,B,2026-04-15 00:00:00
L038,C023,A038,business,2017-06-01,2022-06-01,600000.00,0.00,0.0280,700000.00,paid_off,A,2026-04-15 00:00:00
L039,C025,A039,business,2023-08-01,2028-08-01,140000.00,135000.00,0.0355,160000.00,active,B,2026-04-15 00:00:00
L040,C026,A040,consumer,2022-03-01,2025-03-01,16000.00,5600.00,0.0715,0.00,active,C,2026-04-15 00:00:00
L041,C027,A041,mortgage,2023-10-01,2053-10-01,355000.00,351000.00,0.0215,440000.00,active,A,2026-04-15 00:00:00
L042,C028,A042,business,2020-04-01,2025-04-01,100000.00,30000.00,0.0400,120000.00,restructured,D,2026-04-15 00:00:00
L043,C029,A043,consumer,2021-11-01,2024-11-01,8500.00,5950.00,0.0760,0.00,defaulted,E,2026-04-15 00:00:00
L044,C030,A044,business,2022-07-01,2027-07-01,450000.00,405000.00,0.0310,530000.00,active,A,2026-04-15 00:00:00
L045,C003,A045,credit_line,2024-01-15,2026-01-15,22000.00,19000.00,0.0515,0.00,active,B,2026-04-15 00:00:00
L046,C006,A046,mortgage,2019-10-01,2049-10-01,800000.00,760000.00,0.0200,990000.00,active,A,2026-04-15 00:00:00
L047,C009,A047,consumer,2020-08-01,2023-08-01,13000.00,10400.00,0.0800,0.00,defaulted,E,2026-04-15 00:00:00
L048,C014,A048,business,2023-03-01,2028-03-01,320000.00,304000.00,0.0330,375000.00,active,A,2026-04-15 00:00:00
L049,C022,A049,mortgage,2021-07-15,2051-07-15,215000.00,203000.00,0.0245,265000.00,restructured,D,2026-04-15 00:00:00
L050,C026,A050,business,2022-09-01,2027-09-01,65000.00,52000.00,0.0385,78000.00,active,C,2026-04-15 00:00:00
